ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
1530,simple,,"Bananas Per Kg",1,0,visible,"<strong>1 kg is approximately 7 bananas</strong>","<h5>Bananas are a good source of vitamin C, potassium and dietary fibre. Bananas have no fat, cholesterol or sodium. Bananas are great for athletic and fitness activity because they replenish necessary carbohydrates, glycogen and body fluids burned during exercise. <span style=""font-size: 16px;"">They can also be a good way to get magnesium and vitamins C and B6.</span></h5>\n<div class=""related-product""></div>",,,taxable,,1,,,0,1,,,,,1,,,2.89,"Fruits > Avocados &amp; Bananas",,,https://vegestar.co.nz/wp-content/uploads/2020/04/bananas-cavendish-5-per-bunch-fruit_x700.jpg,,,,,,,,,0
1532,simple,,"Limes Per Kg",1,0,visible,,"Just one lime contains 19.5 milligrams of vitamin C, which is 20-25% of your recommended daily value. It’s also packed with an abundance of calcium, magnesium, phosphorus and potassium and vitamins A, E and K, all of which are necessary for good health.",,,taxable,,1,,,0,1,,,,,1,,,4.95,"Fruits > Citrus",,,https://vegestar.co.nz/wp-content/uploads/2020/04/lime.jpg,,,,,,,,,0
1534,simple,,"Broccoli - Each",1,0,visible,"<p style=""text-align: left;"">Each</p>","Broccoli is high in many vitamins and minerals, including folate, potassium, manganese, iron, and vitamins C and K1. Broccoli’s isothiocyanates may improve many risk factors for disease and reduce your risk of cancer. What’s more, this vegetable may help lower cholesterol and boost eye health.",,,taxable,,1,,,0,0,,,,,1,,,2,"Vegetables > Greens &amp; Others",,,https://vegestar.co.nz/wp-content/uploads/2020/04/brocolli.jpg,,,,,,,,,0
1536,simple,,"NZ Orange Valencia  Per kg",1,0,visible,"Approx 4-6 medium oranges per 1kg","<p style=""padding-left: 40px;""> Navel oranges are one of the healthiest fruits, filled with Vitamin C, fiber and potassium, and also low in calories. Consuming navel oranges more often may protect against heart disease, cancer and diabetes, and help to improve memory, blood pressure, the immune system and overall health.</p>",,,taxable,,1,,,0,1,,,,,1,,,2.95,"Fruits > Citrus",,,https://vegestar.co.nz/wp-content/uploads/2020/04/usa-orange.jpg,,,,,,,,,0
1538,simple,,"Passionfruit Per Kg",1,0,visible,,"Passion fruit contains vitamin C, carotene, and cryptoxanthin – these nutrients help boost the immune system. Vitamin C also stimulates white blood cell activity. This results in a stronger immune system and protection from common ailments.\n\nPassion fruit is also rich in potassium, an important mineral that regulates blood pressure levels . Potassium relaxes blood vessels and enhances blood flow. This reduces heart strain and improves overall heart health.",,,taxable,,1,,,0,1,,,,,1,,,29.95,"Fruits > Stonefruit &amp; Tropical",,,https://vegestar.co.nz/wp-content/uploads/2020/04/Passionfruit-Hero.jpg,,,,,,,,,0
1540,simple,,"Aussie Lychee Per Kg",0,0,visible,,"<em>Lychee</em> fruit contains 66 <em>calories</em> per 100 g, comparable to that in the table grapes. It has no saturated fats or cholesterol but composes of good amounts of dietary fiber, vitamins, and antioxidants.",,,taxable,,1,,,0,1,,,,,1,,,39.95,"Fruits > Stonefruit &amp; Tropical",,,https://vegestar.co.nz/wp-content/uploads/2020/04/lychee.jpg,,,,,,,,,0
1542,simple,,"Cherries - NZ - Per Kg",0,0,visible,,"A cup of cherries has 3 grams of fiber, which aids in digestion, lowers cholesterol, controls blood sugar and can help with weight loss. Cherries are a good source of vitamin C, with 16% of the daily recommended value in one cup. Cherries also contain vitamin A, calcium, protein and iron.",,,taxable,,1,,,0,1,,,,,1,,,17.95,"Fruits > Grapes &amp; Berries, Fruits > Stonefruit &amp; Tropical",,,https://vegestar.co.nz/wp-content/uploads/2020/04/Cherry-220x154-1.jpg,,,,,,,,,0
1545,simple,,"Avocados - Hass",1,0,visible,Each,"We know that avocados are a nutrient-dense fruit loaded with fiber, healthy omega-3 fatty acids, vitamins A, C, E and potassium. We also know that avocados are among the best foods to help fight stress due to their abundance of B vitamins.",,,taxable,,1,,,0,0,,,,,1,,,2.00,"Fruits > Avocados &amp; Bananas",,,https://vegestar.co.nz/wp-content/uploads/2020/04/avocado.jpg,,,,,,,,,0
1547,simple,,"Pineapple - Tropical Gold - Each",1,0,visible,,"Pineapple is an excellent source of vitamin C and manganese. It is also a very good source of copper and a good source of vitamin B1, vitamin B6, dietary fiber, folate and pantothenic acid.",,,taxable,,1,,,0,0,,,,,1,,,3.50,"Fruits > Melons &amp; Pineapples",,,https://vegestar.co.nz/wp-content/uploads/2020/04/pineapple.png,,,,,,,,,0
1549,simple,,"Pomegranate - Each",1,0,visible,,"Regular intake of pomegranate juice has been shown to lower blood pressure levels in as little as two weeks. Pomegranate has antibacterial and antiviral properties which may be useful against common gum diseases and yeast infections. Pomegranates contain punicalagins and punicic acid, unique substances that are responsible for most of their health benefits.",,,taxable,,1,,,0,0,,,,,1,,,5,"Fruits > Stonefruit &amp; Tropical",,,https://vegestar.co.nz/wp-content/uploads/2020/04/pomegranate-1.jpg,,,,,,,,,0
