ID,Name,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
207,Bananas Per Kg,2.00855,2.89,Fruits > Avocados &amp; Bananas,,,http://localhost/vege-star/wp-content/uploads/2021/05/bananas-cavendish-5-per-bunch-fruit_x700.jpg,,,,,,,,,0
208,Limes Per Kg,3.44025,4.95,Fruits > Citrus,,,http://localhost/vege-star/wp-content/uploads/2021/05/lime.jpg,,,,,,,,,0
209,Broccoli - Each,1.39,2,Vegetables > Greens &amp; Others,,,http://localhost/vege-star/wp-content/uploads/2021/05/brocolli.jpg,,,,,,,,,0
210,NZ Orange Valencia  Per kg,2.05025,2.95,Fruits > Citrus,,,http://localhost/vege-star/wp-content/uploads/2021/05/usa-orange.jpg,,,,,,,,,0
211,Passionfruit Per Kg,20.81525,29.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/Passionfruit-Hero.jpg,,,,,,,,,0
212,Aussie Lychee Per Kg,27.76525,39.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/lychee.jpg,,,,,,,,,0
213,Cherries - NZ - Per Kg,12.47525,17.95,"Fruits > Grapes &amp; Berries, Fruits > Stonefruit &amp; Tropical",,,http://localhost/vege-star/wp-content/uploads/2021/05/Cherry-220x154-1.jpg,,,,,,,,,0
214,Avocados - Hass,1.39,2,Fruits > Avocados &amp; Bananas,,,http://localhost/vege-star/wp-content/uploads/2021/05/avocado.jpg,,,,,,,,,0
215,Pineapple - Tropical Gold - Each,2.4325,3.5,Fruits > Melons &amp; Pineapples,,,http://localhost/vege-star/wp-content/uploads/2021/05/pineapple.png,,,,,,,,,0
216,Pomegranate - Each,3.475,5,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/pomegranate-1.jpg,,,,,,,,,0
217,Nectarines - Yellow Flesh - Per Kg,4.13525,5.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/nectarine-yellow.png,,,,,,,,,0
218,Nectarines - White Flesh - Per Kg,4.13525,5.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/White-Flesh-Nectarine.jpg,,,,,,,,,0
219,Nz Peaches - Yellow Flesh - Per Kg,4.13525,5.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/yellow-flesh-peach-220x154-1.jpeg,,,,,,,,,0
220,Peacharine - Per Kg,4.13525,5.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/golden-peach.jpg,,,,,,,,,0
221,Peaches -Golden Queen - Per Kg,4.13525,5.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/golden-peach.jpg,,,,,,,,,0
222,NZ Royal Gala Apple Per Kg New season,1.39,2,Fruits > Apples &amp; Pears,,,http://localhost/vege-star/wp-content/uploads/2021/05/royal-gala.jpg,,,,,,,,,0
223,Apples - Royal Gala - Per Kg,3.44025,4.95,Fruits > Apples &amp; Pears,,,http://localhost/vege-star/wp-content/uploads/2021/05/royal-gala.jpg,,,,,,,,,0
224,Apples - Granny Smith  - Per Kg,0.695,1,Fruits > Apples &amp; Pears,,,http://localhost/vege-star/wp-content/uploads/2021/05/granny-smith.jpg,,,,,,,,,0
225,Apples - Ambrosia - Per Kg,3.44025,4.95,Fruits > Apples &amp; Pears,,,http://localhost/vege-star/wp-content/uploads/2021/05/ambrosia.jpg,,,,,,,,,0
226,Apples - Braeburn - Per Kg,2.05025,2.95,Fruits > Apples &amp; Pears,,,http://localhost/vege-star/wp-content/uploads/2021/05/braeburn_variety-page.png,,,,,,,,,0
227,Apples - Queen - Per Kg,0.695,1,Fruits > Apples &amp; Pears,,,http://localhost/vege-star/wp-content/uploads/2021/05/QUEEN-APPLE.jpg,,,,,,,,,0
228,Apples - Beauty - Per Kg,2.07805,2.99,Fruits > Apples &amp; Pears,,,http://localhost/vege-star/wp-content/uploads/2021/05/nzbeauty.jpg,,,,,,,,,0
229,Apples - Sweet Tango - Per Kg,3.44025,4.95,Fruits > Apples &amp; Pears,,,http://localhost/vege-star/wp-content/uploads/2021/05/sweet-tango.jpg,,,,,,,,,0
230,Apples - Rose - Per Kg,0.695,1,Fruits > Apples &amp; Pears,,,http://localhost/vege-star/wp-content/uploads/2021/05/pacific-rose-apple-lg.jpg,,,,,,,,,0
231,Mango Aussie - Each,3.475,5,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/mango-r2e2.jpg,,,,,,,,,0
232,Mango Mexican- Each,1.38305,1.99,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/mexican-mango.jpg,,,,,,,,,0
233,NZ Rockmelon -Each,3.475,5,Fruits > Melons &amp; Pineapples,,,http://localhost/vege-star/wp-content/uploads/2021/05/nz-rockmelon.jpg,,,,,,,,,0
234,Half Rockmelon -Each,2.085,3,Fruits > Melons &amp; Pineapples,,,http://localhost/vege-star/wp-content/uploads/2021/05/rsz_4-australia_rockmelon.jpg,,,,,,,,,0
235,Tangelos Per Kg,2.085,3,Fruits > Citrus,,,"http://localhost/vege-star/wp-content/uploads/2021/05/TANGELO.png, http://localhost/vege-star/wp-content/uploads/2021/05/tangelo.jpg",,,,,,,,,0
236,Dates USA Per Kg,20.14805,28.99,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/dates.jpg,,,,,,,,,0
251,Nz Green Kiwifruit Per Kg,,2.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/kiwifruit-green.jpg,,,,,,,,,0
252,NZ Gold Kiwifruit Per Kg,,4.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/goldd_370x.jpg,,,,,,,,,0
253,Italian Green Kiwifruit Per Kg,,5.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/kiwifruit-green.jpg,,,,,,,,,0
254,NZ Red Kiwifruit Per Kg,,7.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/red-kiwi.jpg,,,,,,,,,0
255,Paw Paw - Each,,5,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/PawPaw-300x201-1.jpg,,,,,,,,,0
256,Feijoas Per Kg,,4.95,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/feijoa.png,,,,,,,,,0
257,Apples - Jazz - Per Kg,,4.95,Fruits > Apples &amp; Pears,,,http://localhost/vege-star/wp-content/uploads/2021/05/jazz-apple.jpg,,,,,,,,,0
258,Nashi Pears Per Kg,,4.95,Fruits > Apples &amp; Pears,,,http://localhost/vege-star/wp-content/uploads/2021/05/nashi-.jpg,,,,,,,,,0
